id;datetime;entrytext;entrytype
1;2019-07-10T14:57:23;HTTP explicit;TASK
2;2019-07-11T01:39:38;EXE payment;COMMAND
3;2019-07-10T15:04:57;Solutions COM;TASK
4;2019-07-11T04:25:11;deposit Station;COMMUNICATION
5;2019-07-10T18:02:44;invoice teal analyzing;COMMUNICATION
6;2019-07-11T13:17:54;Generic;COMMAND
7;2019-07-10T21:22:37;wireless;TASK
8;2019-07-11T10:53:59;Rupiah Personal Loan Account HTTP;COMMUNICATION
9;2019-07-11T03:34:21;South Dakota Wyoming interface;COMMAND
10;2019-07-10T19:06:07;user-centric Infrastructure;TASK
